PG.ProteinGroups,PG.Genes,EV_NT rep_#1,EV_NT rep_#2,EV_NT rep_#3,EV_DMOG_rep_#1,EV_DMOG_rep_#2,EV_DMOG_rep_#3,WTJ6_NT_rep_#1,WTJ6_NT_rep_#2,WTJ6_NT_rep_#3,WTJ6_DMOG_rep_#1,WTJ6_DMOG_rep_#2,WTJ6_DMOG_rep_#3,EDJ6_NT_rep_#1,EDJ6_NT_rep_#2,EDJ6_NT_rep_#3,EDJ6_DMOG_rep_#1,EDJ6_DMOG_rep_#2,EDJ6_DMOG_rep_#3
Q13435,SF3B2,72602.96875,20874.5625,31146.42188,41337.03906,33498.39063,24932.24609,11337.3623,22152.55469,17475.30859,31584.83594,30779.24219,21087.17188,20114.35938,15098.53516,7623.902832,27306.58984,29382.10156,16816.64453
Q13442,PDAP1,35368.46484,14505.08594,46003.25391,27819.30469,15259.40332,25439.35352,30410.33398,6426.12207,25666.17578,12211.95703,9997.773438,5828.652344,11813.4707,8637.388672,32076.66016,29751.58203,22161.6582,44765.50781
Q13501,SQSTM1,4377.065918,7617.083496,2478.695068,2599.914795,1141.035278,616.4572754,4289.254395,1284.945923,14719.18945,1010.517273,580.2689209,1309.243774,3031.029541,2125.827148,3841.677734,1442.284302,1098.136841,1728.869263
Q13509,TUBB3,3618.210693,2127.618164,2944.474121,11602.04492,31519.49219,3431.222168,3229.410156,2235.111084,2411.904785,1664.517334,1336.276611,28744.60547,4661.509277,10418.78711,15078.04785,43000.73828,18977.22461,9931.524414
Q13523,PRPF4B,4335.931152,2745.606689,1947.408203,1247.588013,534.40271,512.1428223,4358.475098,1259.829712,1617.683472,10793.93457,4873.321289,10663.36035,3005.815186,2087.558105,3873.716064,1465.289307,966.7971191,1761.229614
Q13561,DCTN2,2640.864258,1613.560547,9463.09668,7668.087891,10506.62305,5520.227051,2933.538086,9251.039063,5062.00293,3997.037109,9282.628906,1002.701782,2144.42749,8672.429688,5992.517578,1790.561279,13126.39941,1727.104614
Q14197,MRPL58,35720.41406,63186.33203,33106.38281,50347.69922,115361.8047,33514.25781,39621.22656,79212.90625,70121.96094,49785.30859,39872.82813,72799.89063,56667.91016,78238.38281,81948.29688,63184.32031,59964.39844,55578.67188
Q14244,MAP7,4667.632813,2389.957031,2329.798096,5952.260742,12906.25977,2329.344727,11533.85156,17809.46094,5098.490234,10798.0918,17162.07813,5393.329102,8613.291016,19298.73828,8295.029297,15897.52051,11879.12109,5994.825684
Q14247,CTTN,33319.02734,21866.20898,29363.17969,19082.80859,9049.950195,8814.255859,20979.16797,16263.68848,10446.12012,13627.41602,17693.30469,13566.81055,11057,11571.45508,4867.941406,8137.919434,3790.4729,17793.5957
Q14257,RCN2,8763.882813,24809.43164,9597.136719,6016.641113,6852.331055,11778.67676,7930.825684,21934.8418,10530.42578,9659.087891,20925.37305,4356.977051,5392.201172,7014.118164,3933.612793,2248.608887,13988.03809,1990.249512
